1875;Корпоративная социальная ответственность;2013-12-17 11:59:22.670
1876;Корпоративная стратегия;2013-12-17 12:05:14.670
1224;Корпоративное управление;2012-05-14 15:04:59.390
1877;Корпоративное управление и право;2013-12-17 12:09:01.403
1385;Корпоративные финансы;2012-05-14 15:05:05.123
1579;Культура речи;2012-05-14 15:06:46.840
1230;Культурология;2012-05-14 15:04:59.437
1196;Линейная алгебра;2012-05-14 15:00:02.793
1736;Линейная алгебра и аналитическая геометрия;2013-01-20 14:08:24.697
1530;Линейные и векторные пространства;2012-05-14 15:05:20.983
1738;Логика;2013-01-22 12:26:43.680
1718;Логика и теория алгоритмов;2012-12-28 11:57:00.117
1261;Логистика;2012-05-14 15:05:00.280
1719;Логическое исчисление и теория сложности вычислений;2012-12-28 12:20:28.397
1226;Макроэкономика;2012-05-14 15:04:59.403
1879;Макроэкономика (продвинутый курс);2013-12-18 13:01:36.013
1249;Маркетинг;2012-05-14 15:04:59.763
1233;Маркетинг и менеджмент на предприятии;2012-05-14 15:04:59.530
1421;Маркетинг и менеджмент программных систем;2012-05-14 15:05:06.483
1880;Маркетинг на мировых рынках товаров и услуг;2013-12-18 13:18:01.030
1232;Маркетинг, менеджмент и организация производства;2012-05-14 15:04:59.513
1186;Математика;2012-05-14 15:00:02.497
1729;Математика (спецглавы);2013-01-15 14:42:07.260
1377;Математическая логика и теория алгоритмов;2012-05-14 15:05:04.983
1623;Математические методы обработки экспериментальных данных;2012-05-14 15:08:53.497
1411;Математические методы оптимального управления;2012-05-14 15:05:06.060
1177;Математические основы автоматизации;2012-05-03 13:10:22.193
1777;Математические основы искусственного интеллекта;2013-03-12 11:20:02.433
1583;Математические основы современной теории управления;2012-05-14 15:06:48.140
1540;Математические основы теории управления;2012-05-14 15:05:29.543
1252;Математический анализ;2012-05-14 15:04:59.827
1175;Математическое моделирование;2012-05-03 12:17:21.613
1658;Математическое моделирование абразивной обработки;2012-07-05 12:24:33.197
1600;Математическое моделирование в машиностроении;2012-05-14 15:06:51.060
1493;Математическое моделирование процессов;2012-05-14 15:05:13.607
1487;Математическое моделирование стационарных систем;2012-05-14 15:05:13.297
1852;Математическое моделирование химико-технологических процессов;2013-11-18 13:08:35.447
1380;Материаловедение;2012-05-14 15:05:05.047
1379;Материаловедение. Технология конструкционных материалов;2012-05-14 15:05:05.030
1286;Машинная графика;2012-05-14 15:05:01.327
1691;Машинно-зависимые языки;2012-12-19 15:05:53.593
1319;Машинно-ориентированные языки;2012-05-14 15:05:02.547
1448;Машины и аппараты химических производств;2012-05-14 15:05:09.797
1363;Междисциплинарный курсовой проект;2012-05-14 15:05:04.390
1621;Международные валютно-кредитные отношения;2012-05-14 15:08:53.247
1881;Международные стандарты учёта;2013-12-18 13:24:04.890
1619;Международный менеджмент;2012-05-14 15:08:53.247
1620;Международный маркетинг;2012-05-14 15:08:53.247
1194;Менеджмент;2012-05-14 15:00:02.780
1552;Металлорежущие станки;2012-05-14 15:05:53.640
1577;Методология научного творчества;2012-05-14 15:06:45.310
1841;Методы анализа нечёткой информации;2013-06-15 12:07:32.213
1188;Методы и средства защиты компьютерной информации;2012-05-14 15:00:02.653
1660;Методы и средства измерений в экспериментальных исследованиях;2012-07-05 17:52:34.837
1831;Методы и средства измерений и контроля;2013-04-30 12:54:07.350
1556;Методы и средства измерений, испытания и контроля;2012-05-14 15:05:57.327
1611;Методы инженерного творчества;2012-05-14 15:06:59.060
1882;Методы исследования систем управления;2013-12-18 13:32:59.903
1883;Методы оптимальных решений;2013-12-18 13:41:17.060
1412;Методы оптимизации;2012-05-14 15:05:06.077
1656;Методы оптимизации (Оптимизация технологических процессов);2012-07-03 17:52:19.230
1667;Методы передачи и обработки научной информации;2012-07-23 12:29:18.700
1884;Методы принятия управленческих решений;2013-12-18 13:46:08.357
1885;Методы финансовых расчётов;2013-12-18 13:47:24.373
1849;Метрологическое обеспечение машиностроительного производства;2013-10-31 17:27:35.573
1264;Метрологическое обеспечение технологических процессов;2012-05-14 15:05:00.373
1659;Метрология;2012-07-05 12:42:04.213
1833;Метрология программного обеспечения;2013-05-06 14:25:46.550
1265;Метрология, стандартизация и сертификация;2012-05-14 15:05:00.373
1356;Механика;2012-05-14 15:05:04.123
1545;Механика многофазных систем;2012-05-14 15:05:44.797
1769;Микропроцессорная техника;2013-02-08 12:11:10.567
1366;Микропроцессорные системы и управленческие комплексы;2012-05-14 15:05:04.483
1183;Микропроцессорные системы управления;2012-05-11 12:49:32.247
1368;Микропроцессорные средства автоматизации;2012-05-14 15:05:04.500
1523;Микроэкономика;2012-05-14 15:05:18.093
1631;Микроэкономика (продвинутый курс);2012-05-14 15:10:45.060
1250;Мировая экономика;2012-05-14 15:04:59.810
1886;Мировая экономика и международные экономические отношения;2013-12-18 14:07:13.747
1823;Многопоточные вычисления для автоматизированных систем обработки информации и управления;2013-04-26 10:38:35.617
1748;Мобильные и встраиваемые операционные системы;2013-01-26 13:22:34.997
1512;Модели и методы анализа проектных решений;2012-05-14 15:05:16.140
1219;Модели и методы в экономике;2012-05-14 15:04:59.357
1316;Моделирование объектов и систем;2012-05-14 15:05:02.357
1451;Моделирование переработки полимеров;2012-05-14 15:05:09.903
1768;Моделирование программного обеспечения;2013-02-07 14:19:47.987
1492;Моделирование процессов управления;2012-05-14 15:05:13.607
1315;Моделирование систем;2012-05-14 15:05:02.357
1645;Моделирование систем и процессов;2012-05-29 12:20:19.950
1450;Моделирование технологических процессов синтеза ВМС;2012-05-14 15:05:09.903
1488;Моделирование химико-технологических процессов;2012-05-14 15:05:13.310
